Index,V,Mn,Co,Ni,Ho
60,22.2,17.5,25.6,20.6,14.2
61,17.7,19.2,24.4,22.9,15.8
62,16.9,17.8,24,22.4,18.9
63,13.9,19.1,23.4,23.6,20
64,9.9,21.2,22.2,24.6,22.2
65,5,23.2,22.1,27.8,21.9
66,1.9,23.6,21.9,27.3,25.2
67,1.2,23.6,19.7,29.5,26
68,0.9,22.3,18.6,30.5,27.8
69,0.6,22.2,16.1,30.2,30.9
70,0.5,20.4,14.1,32.7,32.3
71,0.8,20.8,11,34.6,32.9
72,0.7,20.4,10.5,33.8,34.7
73,0.3,21.1,8.1,33.8,36.6
74,0.3,21.2,7.1,34.7,36.7
75,0.6,21.5,5.9,34,38
76,25.7,15.2,28.5,19.6,11
77,25,15.7,26.8,18.6,13.9
78,22.8,16.4,26.8,19.9,14
79,21,17,24.9,22.5,14.6
80,16.9,19.8,24.7,23.1,15.4
81,15.5,18.6,25.2,23.3,17.4
82,12.4,19.5,23.9,24.9,19.2
83,9.2,20.8,23.5,25.5,21
84,5.4,23.3,22.9,25.7,22.7
85,2.2,22.7,23.1,28.3,23.7
86,1.2,24.7,20.1,29.5,24.5
87,0.5,23.5,19.6,30.4,26
88,0.4,22.9,17.8,31.7,27.2
89,0.7,21.6,14.5,34.7,28.5
90,0.7,21.1,13.2,34,30.9
91,0,21.6,10,35.3,33.1
92,0.4,20.5,8.9,35.9,34.4
93,0.4,20.6,8.4,35,35.6
94,0.7,21.9,6.7,36.1,34.6
95,25.4,15,29.4,19,11.1
96,24.5,15.1,29.8,19.4,11.2
97,23.2,16.7,28.9,19.3,11.9
98,21.4,17.6,28,20,13
99,18.7,18.9,27,21,14.4
100,15,19.5,26.7,22.9,15.9
101,15.2,18.8,26,23.3,16.6
102,11.9,20.2,25.4,24.2,18.4
103,9.5,21.1,23.3,25.7,20.5
104,5.2,22.8,23.2,27.2,21.6
105,2.4,23.9,22.2,30.2,21.3
106,1.1,23.9,22.5,27.8,24.7
107,0.7,24.6,18.9,31.4,24.4
108,0.7,23.2,18.2,32.2,25.8
109,1,22.1,16.1,34.4,26.4
110,0.4,21.8,14.3,34.2,29.4
111,0.3,21,11.6,36.1,30.9
112,0.6,22.7,10,35.7,30.9
113,0.4,21.1,9.1,37.4,32
114,0.6,21.2,8.6,37.2,32.4
115,0.2,21.9,7.7,38.4,31.9
116,24.1,15.6,31.6,18.9,9.9
117,23.5,16.4,29.6,19.5,11
118,21.8,17.7,28.6,19.9,12.1
119,19.8,18.1,29.6,19.7,12.9
120,16.8,19.8,28.5,20.9,14
121,14.6,20.1,28.1,22.5,14.8
122,14.5,19.7,25.5,24.7,15.6
123,12.2,20.6,25.1,24.5,17.5
124,8.7,22.3,24,26.7,18.4
125,5,23.5,24,27.2,20.2
126,2.7,24.8,23.7,28.2,20.6
127,1.2,25.2,22.3,29.6,21.8
128,0.5,24.9,20.3,31.5,22.7
129,0.8,23.7,19.4,32.8,23.4
130,0.5,23.2,18.2,33.3,24.8
131,0.4,23.1,14.9,35.4,26.2
132,0.4,21.8,13.8,35.9,28.1
133,0.6,21.8,12.2,36.9,28.5
134,0.3,22.6,10.4,37,29.6
135,0.2,22.4,9.8,36.8,30.8
136,0.8,22.9,8.1,37.8,30.4
137,22.4,16.1,31.3,19.9,10.2
138,21.4,16.5,32.2,18.6,11.4
139,20.8,17.7,30.3,20,11.2
140,18.6,19.1,29.4,21.5,11.4
141,15.9,20.1,28.7,22.3,13
142,13.6,20.8,28.2,23.4,14
143,14.3,20,26.1,23.8,15.8
144,11.7,21,26,24.9,16.3
145,8.5,22,25.1,26.9,17.5
146,5.3,24.9,24.1,27.1,18.6
147,3.3,24.8,23.5,28.8,19.6
148,1.7,25.9,22.7,29.7,20.1
149,0.9,25.3,20.8,32.2,20.8
150,0.9,25.7,19.4,32.6,21.3
151,0.4,25.6,18.9,30.6,24.5
152,0.3,24.6,17.5,34.5,23.1
153,0.7,23.9,15.5,35.6,24.3
154,0.2,22.2,13.6,37.5,26.4
155,0.4,24.1,12.7,35.7,27.1
156,0.6,23.1,10.6,38.2,27.6
157,0.2,24.1,9.3,39.2,27.3
158,21.2,16.7,32.9,19.6,9.6
159,20,17.5,31.5,20.2,10.8
160,18.8,18.3,30.7,20.4,11.9
161,16.6,19.4,30.7,21.7,11.6
162,14.6,20.3,29.3,23.2,12.6
163,13.7,20.1,28.9,23.8,13.6
164,13,19.9,26.6,26.3,14.2
165,10.9,21.2,27.2,24.8,16
166,8.3,22.5,26.2,26.1,16.9
167,5.5,23.6,25.9,26.8,18.2
168,3.9,25.3,24.8,28,17.9
169,1.9,26.7,23.1,29.2,19.1
170,0.9,27.2,21.6,31.7,18.6
171,1,26,20.7,31.2,21.1
172,0.5,25.3,19.2,34.3,20.6
173,0.5,26,17.2,34.2,22.1
174,0.6,25.7,16.5,35.1,22.1
175,0.6,25.6,14.7,34.9,24.2
176,0.1,24.4,13.9,37.2,24.3
177,0.4,25.4,12.4,36.8,25
178,0.3,25.7,11.7,37.7,24.6
179,19.7,17.2,34.7,19.7,8.6
180,19,17.6,33,20.8,9.5
181,17.3,18.9,33.2,20.5,10.1
182,15.7,20.7,31.2,21.5,10.8
183,13.9,21,29.3,24.7,11.1
184,13.2,21.2,29.2,23.9,12.4
185,12.6,21.5,28.2,23.5,14.3
186,10.8,22.5,26.9,25.6,14.2
187,8.5,23.7,25.8,27.5,14.6
188,6.1,23.5,25.1,28.8,16.4
189,4.5,24.6,24.3,29.4,17.1
190,2.6,26.1,23.1,30.2,18.1
191,1.5,27.1,21,32.8,17.7
