
Project: 160322-K1-2 (1)
Owner: 
Site: Site of Interest 1

Sample: Sample 1
Type: Default
ID: 

Processing option : All elements analysed (Normalised)

All results in atomic%

X and Y are stage positions

Spectrum	In stats.	X (mm)	Y (mm)	O	Si	Ti	Ta	
Spectrum 1 {142}	Yes	23.681	-13.962	2.22	14.65	47.27	35.86	
Spectrum 1 {143}	Yes	28.181	-13.962	1.71	16.58	52.09	29.62	
Spectrum 1 {144}	Yes	32.680	-13.962	2.43	18.87	55.60	23.11	
Spectrum 1 {145}	Yes	37.180	-13.962	2.63	22.52	58.26	16.60	
Spectrum 1 {146}	Yes	41.681	-13.962	2.58	29.15	60.41	7.86	
Spectrum 1 {147}	Yes	46.179	-13.962	2.69	36.85	58.76	1.70	
Spectrum 1 {148}	Yes	-43.809	-9.465	1.79	11.09	0.07	87.05	
Spectrum 1 {149}	Yes	-39.308	-9.465	1.35	12.73	0.11	85.81	
Spectrum 1 {150}	Yes	-34.807	-9.465	1.98	12.49	0.16	85.37	
Spectrum 1 {151}	Yes	-30.309	-9.465	1.09	12.42	0.35	86.13	
Spectrum 1 {152}	Yes	-25.810	-9.465	1.45	12.95	0.86	84.75	
Spectrum 1 {153}	Yes	-21.309	-9.465	1.70	11.45	2.18	84.66	
Spectrum 1 {154}	Yes	-16.808	-9.465	2.48	11.68	6.66	79.18	
Spectrum 1 {155}	Yes	-12.307	-9.465	0.31	12.06	11.89	75.73	
Spectrum 1 {156}	Yes	-7.807	-9.465	3.01	12.22	16.40	68.38	
Spectrum 1 {157}	Yes	-3.308	-9.465	2.39	13.01	20.77	63.84	
Spectrum 1 {158}	Yes	1.180	-9.465	2.45	11.20	26.52	59.83	
Spectrum 1 {159}	Yes	5.681	-9.465	2.88	12.19	31.42	53.51	
Spectrum 1 {160}	Yes	10.182	-9.465	2.55	11.55	37.18	48.72	
Spectrum 1 {161}	Yes	14.682	-9.465	1.91	12.65	42.19	43.24	
Spectrum 1 {162}	Yes	19.179	-9.465	2.64	13.64	46.96	36.76	
Spectrum 1 {163}	Yes	23.679	-9.465	3.18	15.51	51.16	30.15	
Spectrum 1 {164}	Yes	28.181	-9.465	2.53	17.34	56.03	24.10	
Spectrum 1 {165}	Yes	32.680	-9.465	2.95	20.63	59.23	17.20	
Spectrum 1 {166}	Yes	37.179	-9.465	2.73	27.37	61.26	8.63	
Spectrum 1 {167}	Yes	41.682	-9.465	1.55	35.06	61.74	1.65	
Spectrum 1 {168}	Yes	46.179	-9.465	3.02	35.31	61.28	0.40	
Spectrum 1 {169}	Yes	-43.811	-4.963	0.05	11.26	0.19	88.50	
Spectrum 1 {170}	Yes	-39.310	-4.963	0.56	10.82	0.24	88.38	
Spectrum 1 {171}	Yes	-34.807	-4.963	1.72	11.47	0.35	86.47	
Spectrum 1 {172}	Yes	-30.309	-4.963	2.17	11.99	0.75	85.09	
Spectrum 1 {173}	Yes	-25.808	-4.963	1.73	11.22	2.49	84.56	
Spectrum 1 {174}	Yes	-21.308	-4.963	1.25	10.69	6.62	81.44	
Spectrum 1 {175}	Yes	-16.806	-4.963	3.24	12.27	11.51	72.98	
Spectrum 1 {176}	Yes	-12.307	-4.963	2.45	12.43	16.21	68.90	
Spectrum 1 {177}	Yes	-7.809	-4.963	1.56	12.48	20.97	65.00	
Spectrum 1 {178}	Yes	-3.308	-4.963	1.24	12.27	25.98	60.51	
Spectrum 1 {179}	Yes	1.181	-4.963	3.10	12.04	30.63	54.23	
Spectrum 1 {180}	Yes	5.681	-4.963	3.17	10.96	36.70	49.17	
Spectrum 1 {181}	Yes	10.179	-4.963	2.24	11.94	41.89	43.93	
Spectrum 1 {182}	Yes	14.679	-4.963	1.43	12.90	47.64	38.03	
Spectrum 1 {183}	Yes	19.181	-4.963	1.46	15.01	52.04	31.49	
Spectrum 1 {184}	Yes	23.680	-4.963	3.00	16.39	55.74	24.87	
Spectrum 1 {185}	Yes	28.180	-4.963	3.55	19.74	58.71	18.00	
